instrument_token,tradingsymbol,name,expiry,strike,instrument_type,lot_size,tick_size
12211970,NIFTY2612026950CE,NIFTY,2026-01-20,26950.0,CE,65,0.05
12212226,NIFTY2612026950PE,NIFTY,2026-01-20,26950.0,PE,65,0.05
12210434,NIFTY2612026900CE,NIFTY,2026-01-20,26900.0,CE,65,0.05
12211714,NIFTY2612026900PE,NIFTY,2026-01-20,26900.0,PE,65,0.05
12209922,NIFTY2612026850CE,NIFTY,2026-01-20,26850.0,CE,65,0.05
12210178,NIFTY2612026850PE,NIFTY,2026-01-20,26850.0,PE,65,0.05
12209410,NIFTY2612026800CE,NIFTY,2026-01-20,26800.0,CE,65,0.05
12209666,NIFTY2612026800PE,NIFTY,2026-01-20,26800.0,PE,65,0.05
12208898,NIFTY2612026750CE,NIFTY,2026-01-20,26750.0,CE,65,0.05
12209154,NIFTY2612026750PE,NIFTY,2026-01-20,26750.0,PE,65,0.05
12208386,NIFTY2612026700CE,NIFTY,2026-01-20,26700.0,CE,65,0.05
12208642,NIFTY2612026700PE,NIFTY,2026-01-20,26700.0,PE,65,0.05
12207874,NIFTY2612026650CE,NIFTY,2026-01-20,26650.0,CE,65,0.05
12208130,NIFTY2612026650PE,NIFTY,2026-01-20,26650.0,PE,65,0.05
12206850,NIFTY2612026600CE,NIFTY,2026-01-20,26600.0,CE,65,0.05
12207618,NIFTY2612026600PE,NIFTY,2026-01-20,26600.0,PE,65,0.05
12206338,NIFTY2612026550CE,NIFTY,2026-01-20,26550.0,CE,65,0.05
12206594,NIFTY2612026550PE,NIFTY,2026-01-20,26550.0,PE,65,0.05
12205826,NIFTY2612026500CE,NIFTY,2026-01-20,26500.0,CE,65,0.05
12206082,NIFTY2612026500PE,NIFTY,2026-01-20,26500.0,PE,65,0.05
12204802,NIFTY2612026450CE,NIFTY,2026-01-20,26450.0,CE,65,0.05
12205058,NIFTY2612026450PE,NIFTY,2026-01-20,26450.0,PE,65,0.05
12204290,NIFTY2612026400CE,NIFTY,2026-01-20,26400.0,CE,65,0.05
12204546,NIFTY2612026400PE,NIFTY,2026-01-20,26400.0,PE,65,0.05
12202754,NIFTY2612026350CE,NIFTY,2026-01-20,26350.0,CE,65,0.05
12204034,NIFTY2612026350PE,NIFTY,2026-01-20,26350.0,PE,65,0.05
12202242,NIFTY2612026300CE,NIFTY,2026-01-20,26300.0,CE,65,0.05
12202498,NIFTY2612026300PE,NIFTY,2026-01-20,26300.0,PE,65,0.05
12200194,NIFTY2612026250CE,NIFTY,2026-01-20,26250.0,CE,65,0.05
12201986,NIFTY2612026250PE,NIFTY,2026-01-20,26250.0,PE,65,0.05
12194050,NIFTY2612026200CE,NIFTY,2026-01-20,26200.0,CE,65,0.05
12199938,NIFTY2612026200PE,NIFTY,2026-01-20,26200.0,PE,65,0.05
12193538,NIFTY2612026150CE,NIFTY,2026-01-20,26150.0,CE,65,0.05
12193794,NIFTY2612026150PE,NIFTY,2026-01-20,26150.0,PE,65,0.05
12193026,NIFTY2612026100CE,NIFTY,2026-01-20,26100.0,CE,65,0.05
12193282,NIFTY2612026100PE,NIFTY,2026-01-20,26100.0,PE,65,0.05
12192514,NIFTY2612026050CE,NIFTY,2026-01-20,26050.0,CE,65,0.05
12192770,NIFTY2612026050PE,NIFTY,2026-01-20,26050.0,PE,65,0.05
12192002,NIFTY2612026000CE,NIFTY,2026-01-20,26000.0,CE,65,0.05
12181762,NIFTY2612025200CE,NIFTY,2026-01-20,25200.0,CE,65,0.05
12182530,NIFTY2612025200PE,NIFTY,2026-01-20,25200.0,PE,65,0.05
12181250,NIFTY2612025150CE,NIFTY,2026-01-20,25150.0,CE,65,0.05
12181506,NIFTY2612025150PE,NIFTY,2026-01-20,25150.0,PE,65,0.05
12180226,NIFTY2612025100CE,NIFTY,2026-01-20,25100.0,CE,65,0.05
12180994,NIFTY2612025100PE,NIFTY,2026-01-20,25100.0,PE,65,0.05
12178946,NIFTY2612025050CE,NIFTY,2026-01-20,25050.0,CE,65,0.05
12179714,NIFTY2612025050PE,NIFTY,2026-01-20,25050.0,PE,65,0.05
12178434,NIFTY2612025000CE,NIFTY,2026-01-20,25000.0,CE,65,0.05
12178690,NIFTY2612025000PE,NIFTY,2026-01-20,25000.0,PE,65,0.05
12177922,NIFTY2612024950CE,NIFTY,2026-01-20,24950.0,CE,65,0.05
12178178,NIFTY2612024950PE,NIFTY,2026-01-20,24950.0,PE,65,0.05
12177154,NIFTY2612024900CE,NIFTY,2026-01-20,24900.0,CE,65,0.05
12177410,NIFTY2612024900PE,NIFTY,2026-01-20,24900.0,PE,65,0.05
12176642,NIFTY2612024850CE,NIFTY,2026-01-20,24850.0,CE,65,0.05
12176898,NIFTY2612024850PE,NIFTY,2026-01-20,24850.0,PE,65,0.05
12176130,NIFTY2612024800CE,NIFTY,2026-01-20,24800.0,CE,65,0.05
12176386,NIFTY2612024800PE,NIFTY,2026-01-20,24800.0,PE,65,0.05
12175618,NIFTY2612024750CE,NIFTY,2026-01-20,24750.0,CE,65,0.05
12175874,NIFTY2612024750PE,NIFTY,2026-01-20,24750.0,PE,65,0.05
12175106,NIFTY2612024700CE,NIFTY,2026-01-20,24700.0,CE,65,0.05
12175362,NIFTY2612024700PE,NIFTY,2026-01-20,24700.0,PE,65,0.05
12174594,NIFTY2612024650CE,NIFTY,2026-01-20,24650.0,CE,65,0.05
12174850,NIFTY2612024650PE,NIFTY,2026-01-20,24650.0,PE,65,0.05
12174082,NIFTY2612024600CE,NIFTY,2026-01-20,24600.0,CE,65,0.05
12174338,NIFTY2612024600PE,NIFTY,2026-01-20,24600.0,PE,65,0.05
12173570,NIFTY2612024550CE,NIFTY,2026-01-20,24550.0,CE,65,0.05
12173826,NIFTY2612024550PE,NIFTY,2026-01-20,24550.0,PE,65,0.05
12173058,NIFTY2612024500CE,NIFTY,2026-01-20,24500.0,CE,65,0.05
12173314,NIFTY2612024500PE,NIFTY,2026-01-20,24500.0,PE,65,0.05
12172546,NIFTY2612024450CE,NIFTY,2026-01-20,24450.0,CE,65,0.05
12172802,NIFTY2612024450PE,NIFTY,2026-01-20,24450.0,PE,65,0.05
12172034,NIFTY2612024400CE,NIFTY,2026-01-20,24400.0,CE,65,0.05
12172290,NIFTY2612024400PE,NIFTY,2026-01-20,24400.0,PE,65,0.05
12171010,NIFTY2612024350CE,NIFTY,2026-01-20,24350.0,CE,65,0.05
12171778,NIFTY2612024350PE,NIFTY,2026-01-20,24350.0,PE,65,0.05
12170498,NIFTY2612024300CE,NIFTY,2026-01-20,24300.0,CE,65,0.05
12170754,NIFTY2612024300PE,NIFTY,2026-01-20,24300.0,PE,65,0.05
12169986,NIFTY2612024250CE,NIFTY,2026-01-20,24250.0,CE,65,0.05
12170242,NIFTY2612024250PE,NIFTY,2026-01-20,24250.0,PE,65,0.05
12169474,NIFTY2612024200CE,NIFTY,2026-01-20,24200.0,CE,65,0.05
12169730,NIFTY2612024200PE,NIFTY,2026-01-20,24200.0,PE,65,0.05
12168450,NIFTY2612024150CE,NIFTY,2026-01-20,24150.0,CE,65,0.05
12169218,NIFTY2612024150PE,NIFTY,2026-01-20,24150.0,PE,65,0.05
12167426,NIFTY2612024100CE,NIFTY,2026-01-20,24100.0,CE,65,0.05
12168194,NIFTY2612024100PE,NIFTY,2026-01-20,24100.0,PE,65,0.05
12166914,NIFTY2612024050CE,NIFTY,2026-01-20,24050.0,CE,65,0.05
12167170,NIFTY2612024050PE,NIFTY,2026-01-20,24050.0,PE,65,0.05
12166146,NIFTY2612024000CE,NIFTY,2026-01-20,24000.0,CE,65,0.05
12166658,NIFTY2612024000PE,NIFTY,2026-01-20,24000.0,PE,65,0.05
12165378,NIFTY2612023950CE,NIFTY,2026-01-20,23950.0,CE,65,0.05
12165634,NIFTY2612023950PE,NIFTY,2026-01-20,23950.0,PE,65,0.05
12164866,NIFTY2612023900CE,NIFTY,2026-01-20,23900.0,CE,65,0.05
12165122,NIFTY2612023900PE,NIFTY,2026-01-20,23900.0,PE,65,0.05
12163842,NIFTY2612023850CE,NIFTY,2026-01-20,23850.0,CE,65,0.05
12164610,NIFTY2612023850PE,NIFTY,2026-01-20,23850.0,PE,65,0.05
15033602,NIFTY26JAN25600CE,NIFTY,2026-01-27,25600.0,CE,65,0.05
15034370,NIFTY26JAN25600PE,NIFTY,2026-01-27,25600.0,PE,65,0.05
15032322,NIFTY26JAN25550CE,NIFTY,2026-01-27,25550.0,CE,65,0.05
15032578,NIFTY26JAN25550PE,NIFTY,2026-01-27,25550.0,PE,65,0.05
15034626,NIFTY26JAN25650CE,NIFTY,2026-01-27,25650.0,CE,65,0.05
15034882,NIFTY26JAN25650PE,NIFTY,2026-01-27,25650.0,PE,65,0.05
15030018,NIFTY26JAN25500CE,NIFTY,2026-01-27,25500.0,CE,65,0.05
15031298,NIFTY26JAN25500PE,NIFTY,2026-01-27,25500.0,PE,65,0.05
15040258,NIFTY26JAN25700CE,NIFTY,2026-01-27,25700.0,CE,65,0.05
15040514,NIFTY26JAN25700PE,NIFTY,2026-01-27,25700.0,PE,65,0.05
15028994,NIFTY26JAN25450CE,NIFTY,2026-01-27,25450.0,CE,65,0.05
15029762,NIFTY26JAN25450PE,NIFTY,2026-01-27,25450.0,PE,65,0.05
15049730,NIFTY26JAN25750CE,NIFTY,2026-01-27,25750.0,CE,65,0.05
15049986,NIFTY26JAN25750PE,NIFTY,2026-01-27,25750.0,PE,65,0.05
15028482,NIFTY26JAN25400CE,NIFTY,2026-01-27,25400.0,CE,65,0.05
15028738,NIFTY26JAN25400PE,NIFTY,2026-01-27,25400.0,PE,65,0.05
15050242,NIFTY26JAN25800CE,NIFTY,2026-01-27,25800.0,CE,65,0.05
15050498,NIFTY26JAN25800PE,NIFTY,2026-01-27,25800.0,PE,65,0.05
15027970,NIFTY26JAN25350CE,NIFTY,2026-01-27,25350.0,CE,65,0.05
15028226,NIFTY26JAN25350PE,NIFTY,2026-01-27,25350.0,PE,65,0.05
15051522,NIFTY26JAN25850CE,NIFTY,2026-01-27,25850.0,CE,65,0.05
15051778,NIFTY26JAN25850PE,NIFTY,2026-01-27,25850.0,PE,65,0.05
15025922,NIFTY26JAN25300CE,NIFTY,2026-01-27,25300.0,CE,65,0.05
15027714,NIFTY26JAN25300PE,NIFTY,2026-01-27,25300.0,PE,65,0.05
15052034,NIFTY26JAN25900CE,NIFTY,2026-01-27,25900.0,CE,65,0.05
15052290,NIFTY26JAN25900PE,NIFTY,2026-01-27,25900.0,PE,65,0.05
15025410,NIFTY26JAN25250CE,NIFTY,2026-01-27,25250.0,CE,65,0.05
15025666,NIFTY26JAN25250PE,NIFTY,2026-01-27,25250.0,PE,65,0.05
15052546,NIFTY26JAN25950CE,NIFTY,2026-01-27,25950.0,CE,65,0.05
15052802,NIFTY26JAN25950PE,NIFTY,2026-01-27,25950.0,PE,65,0.05
15053314,NIFTY26JAN26000PE,NIFTY,2026-01-27,26000.0,PE,65,0.05
15079426,NIFTY26JAN28100CE,NIFTY,2026-01-27,28100.0,CE,65,0.05
15079682,NIFTY26JAN28100PE,NIFTY,2026-01-27,28100.0,PE,65,0.05
15076610,NIFTY26JAN28050CE,NIFTY,2026-01-27,28050.0,CE,65,0.05
15079170,NIFTY26JAN28050PE,NIFTY,2026-01-27,28050.0,PE,65,0.05
15076098,NIFTY26JAN28000CE,NIFTY,2026-01-27,28000.0,CE,65,0.05
15076354,NIFTY26JAN28000PE,NIFTY,2026-01-27,28000.0,PE,65,0.05
15075586,NIFTY26JAN27950CE,NIFTY,2026-01-27,27950.0,CE,65,0.05
15075842,NIFTY26JAN27950PE,NIFTY,2026-01-27,27950.0,PE,65,0.05
15075074,NIFTY26JAN27900CE,NIFTY,2026-01-27,27900.0,CE,65,0.05
15075330,NIFTY26JAN27900PE,NIFTY,2026-01-27,27900.0,PE,65,0.05
15073538,NIFTY26JAN27850CE,NIFTY,2026-01-27,27850.0,CE,65,0.05
15073794,NIFTY26JAN27850PE,NIFTY,2026-01-27,27850.0,PE,65,0.05
15073026,NIFTY26JAN27800CE,NIFTY,2026-01-27,27800.0,CE,65,0.05
15073282,NIFTY26JAN27800PE,NIFTY,2026-01-27,27800.0,PE,65,0.05
15072514,NIFTY26JAN27750CE,NIFTY,2026-01-27,27750.0,CE,65,0.05
15072770,NIFTY26JAN27750PE,NIFTY,2026-01-27,27750.0,PE,65,0.05
15072002,NIFTY26JAN27700CE,NIFTY,2026-01-27,27700.0,CE,65,0.05
15072258,NIFTY26JAN27700PE,NIFTY,2026-01-27,27700.0,PE,65,0.05
15071490,NIFTY26JAN27650CE,NIFTY,2026-01-27,27650.0,CE,65,0.05
15071746,NIFTY26JAN27650PE,NIFTY,2026-01-27,27650.0,PE,65,0.05
15070978,NIFTY26JAN27600CE,NIFTY,2026-01-27,27600.0,CE,65,0.05
15071234,NIFTY26JAN27600PE,NIFTY,2026-01-27,27600.0,PE,65,0.05
15070466,NIFTY26JAN27550CE,NIFTY,2026-01-27,27550.0,CE,65,0.05
15070722,NIFTY26JAN27550PE,NIFTY,2026-01-27,27550.0,PE,65,0.05
15069186,NIFTY26JAN27500CE,NIFTY,2026-01-27,27500.0,CE,65,0.05
15069442,NIFTY26JAN27500PE,NIFTY,2026-01-27,27500.0,PE,65,0.05
15068674,NIFTY26JAN27450CE,NIFTY,2026-01-27,27450.0,CE,65,0.05
15068930,NIFTY26JAN27450PE,NIFTY,2026-01-27,27450.0,PE,65,0.05
15067906,NIFTY26JAN27400CE,NIFTY,2026-01-27,27400.0,CE,65,0.05
15068418,NIFTY26JAN27400PE,NIFTY,2026-01-27,27400.0,PE,65,0.05
15067394,NIFTY26JAN27350CE,NIFTY,2026-01-27,27350.0,CE,65,0.05
15067650,NIFTY26JAN27350PE,NIFTY,2026-01-27,27350.0,PE,65,0.05
15066882,NIFTY26JAN27300CE,NIFTY,2026-01-27,27300.0,CE,65,0.05
15067138,NIFTY26JAN27300PE,NIFTY,2026-01-27,27300.0,PE,65,0.05
15066370,NIFTY26JAN27250CE,NIFTY,2026-01-27,27250.0,CE,65,0.05
15066626,NIFTY26JAN27250PE,NIFTY,2026-01-27,27250.0,PE,65,0.05
15065858,NIFTY26JAN27200CE,NIFTY,2026-01-27,27200.0,CE,65,0.05
15066114,NIFTY26JAN27200PE,NIFTY,2026-01-27,27200.0,PE,65,0.05
15065346,NIFTY26JAN27150CE,NIFTY,2026-01-27,27150.0,CE,65,0.05
15065602,NIFTY26JAN27150PE,NIFTY,2026-01-27,27150.0,PE,65,0.05
15064834,NIFTY26JAN27100CE,NIFTY,2026-01-27,27100.0,CE,65,0.05
15065090,NIFTY26JAN27100PE,NIFTY,2026-01-27,27100.0,PE,65,0.05
15064322,NIFTY26JAN27050CE,NIFTY,2026-01-27,27050.0,CE,65,0.05
15064578,NIFTY26JAN27050PE,NIFTY,2026-01-27,27050.0,PE,65,0.05
15063810,NIFTY26JAN27000CE,NIFTY,2026-01-27,27000.0,CE,65,0.05
15064066,NIFTY26JAN27000PE,NIFTY,2026-01-27,27000.0,PE,65,0.05
15063298,NIFTY26JAN26950CE,NIFTY,2026-01-27,26950.0,CE,65,0.05
15063554,NIFTY26JAN26950PE,NIFTY,2026-01-27,26950.0,PE,65,0.05
15062786,NIFTY26JAN26900CE,NIFTY,2026-01-27,26900.0,CE,65,0.05
15063042,NIFTY26JAN26900PE,NIFTY,2026-01-27,26900.0,PE,65,0.05
15062274,NIFTY26JAN26850CE,NIFTY,2026-01-27,26850.0,CE,65,0.05
15062530,NIFTY26JAN26850PE,NIFTY,2026-01-27,26850.0,PE,65,0.05
15061762,NIFTY26JAN26800CE,NIFTY,2026-01-27,26800.0,CE,65,0.05
15062018,NIFTY26JAN26800PE,NIFTY,2026-01-27,26800.0,PE,65,0.05
15061250,NIFTY26JAN26750CE,NIFTY,2026-01-27,26750.0,CE,65,0.05
15061506,NIFTY26JAN26750PE,NIFTY,2026-01-27,26750.0,PE,65,0.05
15060738,NIFTY26JAN26700CE,NIFTY,2026-01-27,26700.0,CE,65,0.05
15060994,NIFTY26JAN26700PE,NIFTY,2026-01-27,26700.0,PE,65,0.05
15060226,NIFTY26JAN26650CE,NIFTY,2026-01-27,26650.0,CE,65,0.05
15060482,NIFTY26JAN26650PE,NIFTY,2026-01-27,26650.0,PE,65,0.05
15059714,NIFTY26JAN26600CE,NIFTY,2026-01-27,26600.0,CE,65,0.05
15059970,NIFTY26JAN26600PE,NIFTY,2026-01-27,26600.0,PE,65,0.05
15059202,NIFTY26JAN26550CE,NIFTY,2026-01-27,26550.0,CE,65,0.05
15059458,NIFTY26JAN26550PE,NIFTY,2026-01-27,26550.0,PE,65,0.05
15058690,NIFTY26JAN26500CE,NIFTY,2026-01-27,26500.0,CE,65,0.05
15058946,NIFTY26JAN26500PE,NIFTY,2026-01-27,26500.0,PE,65,0.05
15057666,NIFTY26JAN26450CE,NIFTY,2026-01-27,26450.0,CE,65,0.05
15057922,NIFTY26JAN26450PE,NIFTY,2026-01-27,26450.0,PE,65,0.05
15057154,NIFTY26JAN26400CE,NIFTY,2026-01-27,26400.0,CE,65,0.05
15057410,NIFTY26JAN26400PE,NIFTY,2026-01-27,26400.0,PE,65,0.05
15056642,NIFTY26JAN26350CE,NIFTY,2026-01-27,26350.0,CE,65,0.05
15056898,NIFTY26JAN26350PE,NIFTY,2026-01-27,26350.0,PE,65,0.05
15056130,NIFTY26JAN26300CE,NIFTY,2026-01-27,26300.0,CE,65,0.05
15056386,NIFTY26JAN26300PE,NIFTY,2026-01-27,26300.0,PE,65,0.05
15055618,NIFTY26JAN26250CE,NIFTY,2026-01-27,26250.0,CE,65,0.05
15055874,NIFTY26JAN26250PE,NIFTY,2026-01-27,26250.0,PE,65,0.05
15055106,NIFTY26JAN26200CE,NIFTY,2026-01-27,26200.0,CE,65,0.05
15055362,NIFTY26JAN26200PE,NIFTY,2026-01-27,26200.0,PE,65,0.05
15054594,NIFTY26JAN26150CE,NIFTY,2026-01-27,26150.0,CE,65,0.05
15054850,NIFTY26JAN26150PE,NIFTY,2026-01-27,26150.0,PE,65,0.05
15054082,NIFTY26JAN26100CE,NIFTY,2026-01-27,26100.0,CE,65,0.05
15054338,NIFTY26JAN26100PE,NIFTY,2026-01-27,26100.0,PE,65,0.05
15053570,NIFTY26JAN26050CE,NIFTY,2026-01-27,26050.0,CE,65,0.05
15053826,NIFTY26JAN26050PE,NIFTY,2026-01-27,26050.0,PE,65,0.05
15053058,NIFTY26JAN26000CE,NIFTY,2026-01-27,26000.0,CE,65,0.05
15024386,NIFTY26JAN25200CE,NIFTY,2026-01-27,25200.0,CE,65,0.05
15024642,NIFTY26JAN25200PE,NIFTY,2026-01-27,25200.0,PE,65,0.05
15018754,NIFTY26JAN25150CE,NIFTY,2026-01-27,25150.0,CE,65,0.05
15020802,NIFTY26JAN25150PE,NIFTY,2026-01-27,25150.0,PE,65,0.05
15018242,NIFTY26JAN25100CE,NIFTY,2026-01-27,25100.0,CE,65,0.05
15018498,NIFTY26JAN25100PE,NIFTY,2026-01-27,25100.0,PE,65,0.05
15017730,NIFTY26JAN25050CE,NIFTY,2026-01-27,25050.0,CE,65,0.05
15017986,NIFTY26JAN25050PE,NIFTY,2026-01-27,25050.0,PE,65,0.05
15017218,NIFTY26JAN25000CE,NIFTY,2026-01-27,25000.0,CE,65,0.05
15017474,NIFTY26JAN25000PE,NIFTY,2026-01-27,25000.0,PE,65,0.05
15014658,NIFTY26JAN24950CE,NIFTY,2026-01-27,24950.0,CE,65,0.05
15014914,NIFTY26JAN24950PE,NIFTY,2026-01-27,24950.0,PE,65,0.05
15005442,NIFTY26JAN24900CE,NIFTY,2026-01-27,24900.0,CE,65,0.05
15014402,NIFTY26JAN24900PE,NIFTY,2026-01-27,24900.0,PE,65,0.05
15004930,NIFTY26JAN24850CE,NIFTY,2026-01-27,24850.0,CE,65,0.05
15005186,NIFTY26JAN24850PE,NIFTY,2026-01-27,24850.0,PE,65,0.05
15004418,NIFTY26JAN24800CE,NIFTY,2026-01-27,24800.0,CE,65,0.05
15004674,NIFTY26JAN24800PE,NIFTY,2026-01-27,24800.0,PE,65,0.05
15003138,NIFTY26JAN24750CE,NIFTY,2026-01-27,24750.0,CE,65,0.05
15003394,NIFTY26JAN24750PE,NIFTY,2026-01-27,24750.0,PE,65,0.05
15002626,NIFTY26JAN24700CE,NIFTY,2026-01-27,24700.0,CE,65,0.05
15002882,NIFTY26JAN24700PE,NIFTY,2026-01-27,24700.0,PE,65,0.05
15001858,NIFTY26JAN24650CE,NIFTY,2026-01-27,24650.0,CE,65,0.05
15002370,NIFTY26JAN24650PE,NIFTY,2026-01-27,24650.0,PE,65,0.05
15001346,NIFTY26JAN24600CE,NIFTY,2026-01-27,24600.0,CE,65,0.05
15001602,NIFTY26JAN24600PE,NIFTY,2026-01-27,24600.0,PE,65,0.05
15000834,NIFTY26JAN24550CE,NIFTY,2026-01-27,24550.0,CE,65,0.05
15001090,NIFTY26JAN24550PE,NIFTY,2026-01-27,24550.0,PE,65,0.05
15000322,NIFTY26JAN24500CE,NIFTY,2026-01-27,24500.0,CE,65,0.05
